2021-02-24 00:10:04,966 [INFO ] - [OnSessionStarted] session(20285a15-1d64-4e18-adbb-626c3d6e26e7))
2021-02-24 00:10:39,854 [INFO ] - [projectile] created...
2021-02-24 00:10:43,901 [INFO ] - [projectile x[19.9652], y[28.64176]
2021-02-24 00:10:43,902 [INFO ] - [projectile x[20.24241], y[29.4034]
2021-02-24 00:10:43,902 [INFO ] - [projectile x[20.51963], y[30.16504]
2021-02-24 00:10:43,903 [INFO ] - [projectile x[20.79684], y[30.92668]
2021-02-24 00:10:44,007 [INFO ] - [projectile x[21.07406], y[31.68832]
2021-02-24 00:10:44,007 [INFO ] - [projectile x[21.29051], y[32.28303]
2021-02-24 00:10:44,008 [INFO ] - [projectile x[21.50697], y[32.87774]
2021-02-24 00:10:44,008 [INFO ] - [projectile x[21.72343], y[33.47245]
2021-02-24 00:10:44,009 [INFO ] - [projectile x[21.93989], y[34.06716]
2021-02-24 00:10:44,112 [INFO ] - [projectile x[22.15634], y[34.66187]
2021-02-24 00:10:44,112 [INFO ] - [projectile x[22.37184], y[35.25395]
2021-02-24 00:10:44,115 [INFO ] - [projectile x[22.58734], y[35.84603]
2021-02-24 00:10:44,115 [INFO ] - [projectile x[22.80284], y[36.43811]
2021-02-24 00:10:44,116 [INFO ] - [projectile x[23.01834], y[37.03019]
2021-02-24 00:10:44,232 [INFO ] - [projectile x[23.23384], y[37.62227]
2021-02-24 00:10:44,232 [INFO ] - [projectile x[23.4805], y[38.29994]
2021-02-24 00:10:44,233 [INFO ] - [projectile x[23.72715], y[38.97762]
2021-02-24 00:10:44,233 [INFO ] - [projectile x[23.9738], y[39.65529]
2021-02-24 00:10:44,234 [INFO ] - [projectile x[24.22045], y[40.33296]
2021-02-24 00:10:44,337 [INFO ] - [projectile x[24.46711], y[41.01064]
2021-02-24 00:10:44,337 [INFO ] - [projectile x[24.68306], y[41.60397]
2021-02-24 00:10:44,338 [INFO ] - [projectile x[24.89902], y[42.1973]
2021-02-24 00:10:44,338 [INFO ] - [projectile x[25.11497], y[42.79064]
2021-02-24 00:10:44,339 [INFO ] - [projectile] removed...
2021-02-24 00:10:44,340 [INFO ] - [projectile x[25.33093], y[43.38397]
2021-02-24 00:10:44,341 [INFO ] - [projectile] removed...
2021-02-24 00:10:45,557 [INFO ] - [projectile] created...
2021-02-24 00:10:45,662 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:45,662 [INFO ] - [projectile x[15.26323], y[15.56449]
2021-02-24 00:10:45,663 [INFO ] - [projectile x[15.52645], y[16.12898]
2021-02-24 00:10:45,664 [INFO ] - [projectile x[15.78968], y[16.69348]
2021-02-24 00:10:45,665 [INFO ] - [projectile x[16.05291], y[17.25797]
2021-02-24 00:10:45,767 [INFO ] - [projectile x[16.31613], y[17.82246]
2021-02-24 00:10:45,767 [INFO ] - [projectile x[16.58316], y[18.3951]
2021-02-24 00:10:45,768 [INFO ] - [projectile x[16.85019], y[18.96774]
2021-02-24 00:10:45,770 [INFO ] - [projectile x[17.11721], y[19.54038]
2021-02-24 00:10:45,771 [INFO ] - [projectile x[17.38424], y[20.11302]
2021-02-24 00:10:45,887 [INFO ] - [projectile x[17.65127], y[20.68567]
2021-02-24 00:10:45,887 [INFO ] - [projectile x[17.9556], y[21.33831]
2021-02-24 00:10:45,889 [INFO ] - [projectile x[18.25994], y[21.99096]
2021-02-24 00:10:45,890 [INFO ] - [projectile x[18.56428], y[22.64361]
2021-02-24 00:10:45,891 [INFO ] - [projectile x[18.86861], y[23.29626]
2021-02-24 00:10:46,007 [INFO ] - [projectile x[19.17295], y[23.94891]
2021-02-24 00:10:46,007 [INFO ] - [projectile x[19.47709], y[24.60115]
2021-02-24 00:10:46,008 [INFO ] - [projectile x[19.78124], y[25.25339]
2021-02-24 00:10:46,009 [INFO ] - [projectile x[20.08538], y[25.90563]
2021-02-24 00:10:46,009 [INFO ] - [projectile x[20.38953], y[26.55787]
2021-02-24 00:10:46,112 [INFO ] - [projectile x[20.69367], y[27.2101]
2021-02-24 00:10:46,112 [INFO ] - [projectile x[20.95996], y[27.78118]
2021-02-24 00:10:46,113 [INFO ] - [projectile x[21.22626], y[28.35225]
2021-02-24 00:10:46,113 [INFO ] - [projectile x[21.49255], y[28.92332]
2021-02-24 00:10:46,114 [INFO ] - [projectile x[21.75885], y[29.49439]
2021-02-24 00:10:46,233 [INFO ] - [projectile x[22.02514], y[30.06546]
2021-02-24 00:10:46,233 [INFO ] - [projectile x[22.33188], y[30.72326]
2021-02-24 00:10:46,234 [INFO ] - [projectile x[22.63861], y[31.38106]
2021-02-24 00:10:46,234 [INFO ] - [projectile x[22.94535], y[32.03885]
2021-02-24 00:10:46,235 [INFO ] - [projectile x[23.25209], y[32.69665]
2021-02-24 00:10:46,338 [INFO ] - [projectile x[23.55882], y[33.35444]
2021-02-24 00:10:46,338 [INFO ] - [projectile x[23.8251], y[33.92548]
2021-02-24 00:10:46,342 [INFO ] - [projectile x[24.09138], y[34.49651]
2021-02-24 00:10:46,342 [INFO ] - [projectile x[24.35765], y[35.06754]
2021-02-24 00:10:46,343 [INFO ] - [projectile x[24.62393], y[35.63858]
2021-02-24 00:10:46,443 [INFO ] - [projectile x[24.89021], y[36.20961]
2021-02-24 00:10:46,443 [INFO ] - [projectile x[25.15643], y[36.78052]
2021-02-24 00:10:46,444 [INFO ] - [projectile x[25.42265], y[37.35143]
2021-02-24 00:10:46,445 [INFO ] - [projectile x[25.68886], y[37.92233]
2021-02-24 00:10:46,445 [INFO ] - [projectile x[25.95508], y[38.49324]
2021-02-24 00:10:46,563 [INFO ] - [projectile x[26.2213], y[39.06415]
2021-02-24 00:10:46,563 [INFO ] - [projectile x[26.52566], y[39.71685]
2021-02-24 00:10:46,564 [INFO ] - [projectile x[26.83002], y[40.36955]
2021-02-24 00:10:46,564 [INFO ] - [projectile x[27.13438], y[41.02225]
2021-02-24 00:10:46,565 [INFO ] - [projectile x[27.43874], y[41.67496]
2021-02-24 00:10:46,565 [INFO ] - [projectile] removed...
2021-02-24 00:10:48,469 [INFO ] - [projectile] created...
2021-02-24 00:10:48,564 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:48,564 [INFO ] - [projectile x[15.24928], y[15.51111]
2021-02-24 00:10:48,565 [INFO ] - [projectile x[15.49857], y[16.02221]
2021-02-24 00:10:48,565 [INFO ] - [projectile x[15.74785], y[16.53332]
2021-02-24 00:10:48,566 [INFO ] - [projectile x[15.99713], y[17.04442]
2021-02-24 00:10:48,684 [INFO ] - [projectile x[16.24641], y[17.55552]
2021-02-24 00:10:48,684 [INFO ] - [projectile x[16.56203], y[18.20263]
2021-02-24 00:10:48,685 [INFO ] - [projectile x[16.87764], y[18.84973]
2021-02-24 00:10:48,685 [INFO ] - [projectile x[17.19325], y[19.49683]
2021-02-24 00:10:48,686 [INFO ] - [projectile x[17.50886], y[20.14393]
2021-02-24 00:10:48,789 [INFO ] - [projectile x[17.82447], y[20.79103]
2021-02-24 00:10:48,789 [INFO ] - [projectile x[18.10071], y[21.35741]
2021-02-24 00:10:48,792 [INFO ] - [projectile x[18.37696], y[21.9238]
2021-02-24 00:10:48,793 [INFO ] - [projectile x[18.6532], y[22.49018]
2021-02-24 00:10:48,793 [INFO ] - [projectile x[18.92945], y[23.05657]
2021-02-24 00:10:48,895 [INFO ] - [projectile x[19.20569], y[23.62295]
2021-02-24 00:10:48,895 [INFO ] - [projectile x[19.48296], y[24.19143]
2021-02-24 00:10:48,896 [INFO ] - [projectile x[19.76023], y[24.75991]
2021-02-24 00:10:48,897 [INFO ] - [projectile x[20.03749], y[25.32839]
2021-02-24 00:10:48,897 [INFO ] - [projectile x[20.31476], y[25.89686]
2021-02-24 00:10:49,015 [INFO ] - [projectile x[20.59202], y[26.46534]
2021-02-24 00:10:49,015 [INFO ] - [projectile x[20.90772], y[27.11261]
2021-02-24 00:10:49,016 [INFO ] - [projectile x[21.22341], y[27.75988]
2021-02-24 00:10:49,016 [INFO ] - [projectile x[21.53911], y[28.40715]
2021-02-24 00:10:49,017 [INFO ] - [projectile x[21.8548], y[29.05442]
2021-02-24 00:10:49,135 [INFO ] - [projectile x[22.1705], y[29.70169]
2021-02-24 00:10:49,135 [INFO ] - [projectile x[22.48625], y[30.34908]
2021-02-24 00:10:49,135 [INFO ] - [projectile x[22.802], y[30.99648]
2021-02-24 00:10:49,136 [INFO ] - [projectile x[23.11776], y[31.64387]
2021-02-24 00:10:49,137 [INFO ] - [projectile x[23.43351], y[32.29126]
2021-02-24 00:10:49,240 [INFO ] - [projectile x[23.74927], y[32.93866]
2021-02-24 00:10:49,240 [INFO ] - [projectile x[24.02618], y[33.50642]
2021-02-24 00:10:49,241 [INFO ] - [projectile x[24.3031], y[34.07418]
2021-02-24 00:10:49,242 [INFO ] - [projectile x[24.58002], y[34.64195]
2021-02-24 00:10:49,242 [INFO ] - [projectile x[24.85693], y[35.20971]
2021-02-24 00:10:49,345 [INFO ] - [projectile x[25.13385], y[35.77748]
2021-02-24 00:10:49,345 [INFO ] - [projectile x[25.41105], y[36.34584]
2021-02-24 00:10:49,347 [INFO ] - [projectile x[25.68826], y[36.9142]
2021-02-24 00:10:49,348 [INFO ] - [projectile x[25.96547], y[37.48256]
2021-02-24 00:10:49,348 [INFO ] - [projectile x[26.24267], y[38.05091]
2021-02-24 00:10:49,456 [INFO ] - [projectile x[26.51988], y[38.61927]
2021-02-24 00:10:49,457 [INFO ] - [projectile x[26.81359], y[39.22147]
2021-02-24 00:10:49,457 [INFO ] - [projectile x[27.10731], y[39.82367]
2021-02-24 00:10:49,459 [INFO ] - [projectile x[27.40102], y[40.42587]
2021-02-24 00:10:49,460 [INFO ] - [projectile x[27.69473], y[41.02807]
2021-02-24 00:10:49,571 [INFO ] - [projectile x[27.98844], y[41.63027]
2021-02-24 00:10:49,571 [INFO ] - [projectile] removed...
2021-02-24 00:10:49,572 [INFO ] - [projectile x[28.28693], y[42.24225]
2021-02-24 00:10:49,573 [INFO ] - [projectile] removed...
2021-02-24 00:10:49,573 [INFO ] - [projectile x[28.58541], y[42.85423]
2021-02-24 00:10:49,574 [INFO ] - [projectile] removed...
2021-02-24 00:10:49,574 [INFO ] - [projectile x[28.88389], y[43.46621]
2021-02-24 00:10:49,575 [INFO ] - [projectile] removed...
2021-02-24 00:10:49,575 [INFO ] - [projectile x[29.18237], y[44.07819]
2021-02-24 00:10:49,576 [INFO ] - [projectile] removed...
2021-02-24 00:10:50,325 [INFO ] - [projectile] created...
2021-02-24 00:10:50,427 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:50,427 [INFO ] - [projectile x[15.27713], y[15.5439]
2021-02-24 00:10:50,428 [INFO ] - [projectile x[15.55427], y[16.08781]
2021-02-24 00:10:50,429 [INFO ] - [projectile x[15.8314], y[16.63171]
2021-02-24 00:10:50,429 [INFO ] - [projectile x[16.10853], y[17.17562]
2021-02-24 00:10:50,548 [INFO ] - [projectile x[16.38567], y[17.71952]
2021-02-24 00:10:50,548 [INFO ] - [projectile x[16.71393], y[18.36378]
2021-02-24 00:10:50,549 [INFO ] - [projectile x[17.04219], y[19.00803]
2021-02-24 00:10:50,549 [INFO ] - [projectile x[17.37045], y[19.65228]
2021-02-24 00:10:50,550 [INFO ] - [projectile x[17.69872], y[20.29654]
2021-02-24 00:10:50,669 [INFO ] - [projectile x[18.02698], y[20.94079]
2021-02-24 00:10:50,669 [INFO ] - [projectile x[18.35663], y[21.58776]
2021-02-24 00:10:50,672 [INFO ] - [projectile x[18.68628], y[22.23474]
2021-02-24 00:10:50,673 [INFO ] - [projectile x[19.01593], y[22.88172]
2021-02-24 00:10:50,673 [INFO ] - [projectile x[19.34558], y[23.52869]
2021-02-24 00:10:50,789 [INFO ] - [projectile x[19.67523], y[24.17567]
2021-02-24 00:10:50,789 [INFO ] - [projectile x[20.00374], y[24.8204]
2021-02-24 00:10:50,792 [INFO ] - [projectile x[20.33225], y[25.46514]
2021-02-24 00:10:50,793 [INFO ] - [projectile x[20.66076], y[26.10987]
2021-02-24 00:10:50,793 [INFO ] - [projectile x[20.98927], y[26.7546]
2021-02-24 00:10:50,894 [INFO ] - [projectile x[21.31777], y[27.39934]
2021-02-24 00:10:50,894 [INFO ] - [projectile x[21.60385], y[27.96079]
2021-02-24 00:10:50,895 [INFO ] - [projectile x[21.88993], y[28.52225]
2021-02-24 00:10:50,895 [INFO ] - [projectile x[22.176], y[29.0837]
2021-02-24 00:10:50,896 [INFO ] - [projectile x[22.46208], y[29.64516]
2021-02-24 00:10:51,014 [INFO ] - [projectile x[22.74815], y[30.20661]
2021-02-24 00:10:51,014 [INFO ] - [projectile x[23.07545], y[30.84898]
2021-02-24 00:10:51,015 [INFO ] - [projectile x[23.40275], y[31.49134]
2021-02-24 00:10:51,015 [INFO ] - [projectile x[23.73005], y[32.13371]
2021-02-24 00:10:51,016 [INFO ] - [projectile x[24.05736], y[32.77607]
2021-02-24 00:10:51,120 [INFO ] - [projectile x[24.38466], y[33.41844]
2021-02-24 00:10:51,120 [INFO ] - [projectile x[24.67133], y[33.98107]
2021-02-24 00:10:51,121 [INFO ] - [projectile x[24.95801], y[34.5437]
2021-02-24 00:10:51,122 [INFO ] - [projectile x[25.24468], y[35.10633]
2021-02-24 00:10:51,122 [INFO ] - [projectile x[25.53135], y[35.66896]
2021-02-24 00:10:51,225 [INFO ] - [projectile x[25.81803], y[36.23159]
2021-02-24 00:10:51,225 [INFO ] - [projectile x[26.10466], y[36.79413]
2021-02-24 00:10:51,228 [INFO ] - [projectile x[26.39129], y[37.35667]
2021-02-24 00:10:51,229 [INFO ] - [projectile x[26.67792], y[37.91921]
2021-02-24 00:10:51,229 [INFO ] - [projectile x[26.96454], y[38.48175]
2021-02-24 00:10:51,330 [INFO ] - [projectile x[27.25117], y[39.0443]
2021-02-24 00:10:51,330 [INFO ] - [projectile x[27.53818], y[39.60757]
2021-02-24 00:10:51,331 [INFO ] - [projectile x[27.82518], y[40.17085]
2021-02-24 00:10:51,332 [INFO ] - [projectile x[28.11218], y[40.73412]
2021-02-24 00:10:51,332 [INFO ] - [projectile x[28.39918], y[41.29739]
2021-02-24 00:10:51,333 [INFO ] - [projectile] removed...
2021-02-24 00:10:52,973 [INFO ] - [projectile] created...
2021-02-24 00:10:53,088 [INFO ] - [projectile x[15], y[15]
2021-02-24 00:10:53,088 [INFO ] - [projectile x[15.32232], y[15.6062]
2021-02-24 00:10:53,089 [INFO ] - [projectile x[15.64465], y[16.2124]
2021-02-24 00:10:53,089 [INFO ] - [projectile x[15.96697], y[16.81861]
2021-02-24 00:10:53,090 [INFO ] - [projectile x[16.2893], y[17.42481]
2021-02-24 00:10:53,194 [INFO ] - [projectile x[16.61162], y[18.03101]
2021-02-24 00:10:53,194 [INFO ] - [projectile x[16.91009], y[18.59235]
2021-02-24 00:10:53,194 [INFO ] - [projectile x[17.20856], y[19.15369]
